"eco_values","species","latitude","longitude","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","elevation","precip","temp","NDVI"
5,"Cardamine bellidifolia",46.20873,7.66539,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2782,82.4339385600085,-11.0465815122781,0.00198290963155751
5,"Cardamine bellidifolia",46.85858,9.83222,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2384,98.4601727999994,-10.4685066179736,0.250458072024969
5,"Cardamine bellidifolia",46.67594,9.95488,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2727,95.9413670399995,-13.294136740708,-0.0215033470375618
5,"Cardamine bellidifolia",46.40476,10.00736,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2339,49.6640838399994,-12.8644082061871,0.129650089607628
5,"Cardamine bellidifolia",46.62332,10.27903,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2572,59.5878563199991,-12.3771882396359,0.135045280381044
5,"Cardamine bellidifolia",46.60343,8.9723,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2679,110.2488416,-10.6722277135505,-0.0440306179533373
5,"Cardamine hirsuta",46.33882,8.51019,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2385,79.5644000000001,-7.22036926761476,0.168222281247364
5,"Cardamine bellidifolia",46.46472,9.2288,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2777,96.2664000000002,-11.236497150705,-0.0614329545774572
5,"Cardamine bellidifolia",46.2537,7.21171,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2398,158.9280736,-7.59132693379513,0.128723909756052
5,"Cardamine bellidifolia",46.7164,10.15306,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2607,83.394246400004,-12.7024747533999,-0.024073297534878
5,"Cardamine bellidifolia",46.7164,10.15306,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2607,83.394246400004,-12.7024747533999,-0.024073297534878
5,"Cardamine bellidifolia",46.02771,7.9875,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2535,65.2519999999964,-10.387400190735,0.00731659016496046
5,"Cardamine bellidifolia",46.49612,9.94653,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2965,83.44685504,-13.7723429142154,-0.0338170318557391
5,"Cardamine bellidifolia",45.93871,7.14856,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2351,189.9625056,-8.88333847483671,0.135597039802841
5,"Cardamine bellidifolia",46.2537,7.21171,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2398,158.9280736,-7.59132693379513,0.128723909756052
5,"Cardamine bellidifolia",46.20839,7.08233,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2283,169.78896848,-8.12632932633386,-0.0130627080919133
5,"Cardamine bellidifolia",45.98369,7.72898,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2257,87.6602220800036,-9.85492768919521,0.194236093122809
5,"Cardamine bellidifolia",46.49612,9.94653,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2965,83.44685504,-13.7723429142154,-0.0338170318557391
5,"Cardamine bellidifolia",46.02849,7.79379,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2859,62.7355433599965,-11.3734137428812,0.0605398239068579
5,"Cardamine bellidifolia",46.02771,7.9875,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2535,65.2519999999964,-10.387400190735,0.00731659016496046
5,"Cardamine bellidifolia",46.67594,9.95488,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2727,95.9413670399995,-13.294136740708,-0.0215033470375618
5,"Cardamine bellidifolia",45.98369,7.72898,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2257,87.6602220800036,-9.85492768919521,0.194236093122809
5,"Cardamine bellidifolia",46.084444,7.918889,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2463,73.7994399999988,-9.90905309460744,-0.00771334531071911
5,"Cardamine bellidifolia",45.98369,7.72898,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2257,87.6602220800036,-9.85492768919521,0.194236093122809
5,"Cardamine bellidifolia",46.56014,8.84064,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2549,101.943070720001,-10.2917909378181,0.184490355641126
5,"Cardamine bellidifolia",46.20873,7.66539,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2782,82.4339385600085,-11.0465815122781,0.00198290963155751
5,"Cardamine bellidifolia",46.40621,9.94237,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2619,65.3376744000006,-13.1992095280905,-0.070532117935095
5,"Cardamine bellidifolia",46.72371,9.82624,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2653,99.0835999999995,-12.0678802474976,0.035594000400885
5,"Cardamine bellidifolia",45.98369,7.72898,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2257,87.6602220800036,-9.85492768919521,0.194236093122809
5,"Cardamine bellidifolia",46.46472,9.2288,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2777,96.2664000000002,-11.236497150705,-0.0614329545774572
5,"Cardamine bellidifolia",46.54388,9.8183,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2797,88.7488575999996,-12.9054517551269,0.0494166424917178
5,"Cardamine bellidifolia",46.20839,7.08233,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2283,169.78896848,-8.12632932633386,-0.0130627080919133
5,"Cardamine bellidifolia",45.98369,7.72898,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2257,87.6602220800036,-9.85492768919521,0.194236093122809
5,"Cardamine bellidifolia",45.98369,7.72898,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2257,87.6602220800036,-9.85492768919521,0.194236093122809
5,"Cardamine bellidifolia",46.2537,7.21171,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2398,158.9280736,-7.59132693379513,0.128723909756052
5,"Cardamine bellidifolia",46.38875,7.60114,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2833,100.075999999998,-10.5098080207826,-0.0276865749304164
5,"Cardamine bellidifolia",46.40621,9.94237,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2619,65.3376744000006,-13.1992095280905,-0.070532117935095
5,"Cardamine bellidifolia",45.9835,7.0838,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",1921,163.527999999991,-8.47782406745885,0.236737886953192
5,"Cardamine bellidifolia",46.58884,9.82028,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2756,91.1824313600001,-12.8227478994836,0.0398680014741876
5,"Cardamine bellidifolia",46.02849,7.79379,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2859,62.7355433599965,-11.3734137428812,0.0605398239068579
5,"Cardamine bellidifolia",46.56014,8.84064,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2549,101.943070720001,-10.2917909378181,0.184490355641126
5,"Cardamine bellidifolia",46.069985,7.932301,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2932,45.3813988559994,-11.4831586658851,-0.0375894440092094
5,"Cardamine bellidifolia",46.7164,10.15306,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2607,83.394246400004,-12.7024747533999,-0.024073297534878
5,"Cardamine bellidifolia",46.76585,9.95908,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2732,102.358323200001,-13.0661561312592,-0.049712130694176
5,"Cardamine bellidifolia",45.98369,7.72898,"gbif","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2257,87.6602220800036,-9.85492768919521,0.194236093122809
